date,home_team,away_team,home_score,away_score,competition,year,round,group,venue,pen_home,pen_away
1986-05-31,bulgaria,italy,1,1,世界杯1986小组赛 Group A,1986,Matchday 1,Group A,"Estadio Azteca, Mexico City",,
1986-06-01,canada,france,0,1,世界杯1986小组赛 Group C,1986,Matchday 1,Group C,"Estadio Nou Camp, León",,
1986-06-01,spain,brazil,0,1,世界杯1986小组赛 Group D,1986,Matchday 1,Group D,"Estadio Jalisco, Guadalajara",,
1986-06-02,argentina,south_korea,3,1,世界杯1986小组赛 Group A,1986,Matchday 1,Group A,"Estadio Olímpico Universitario, Mexico City",,
1986-06-02,morocco,poland,0,0,世界杯1986小组赛 Group F,1986,Matchday 1,Group F,"Estadio Universitario, Monterrey",,
1986-06-02,soviet_union,hungary,6,0,世界杯1986小组赛 Group C,1986,Matchday 1,Group C,"Estadio Sergio León Chavez, Irapuato",,
1986-06-03,algeria,northern_ireland,1,1,世界杯1986小组赛 Group D,1986,Matchday 1,Group D,"Estadio Tres de Marzo, Guadalajara",,
1986-06-03,belgium,mexico,1,2,世界杯1986小组赛 Group B,1986,Matchday 1,Group B,"Estadio Azteca, Mexico City",,
1986-06-03,portugal,england,1,0,世界杯1986小组赛 Group F,1986,Matchday 1,Group F,"Estadio Tecnológico, Monterrey",,
1986-06-04,paraguay,iraq,1,0,世界杯1986小组赛 Group B,1986,Matchday 1,Group B,"Estadio Nemesio Díez, Toluca",,
1986-06-04,scotland,denmark,0,1,世界杯1986小组赛 Group E,1986,Matchday 1,Group E,"Estadio Neza 86, Nezahualcóyotl",,
1986-06-04,uruguay,west_germany,1,1,世界杯1986小组赛 Group E,1986,Matchday 1,Group E,"Estadio La Corregidora, Querétaro",,
1986-06-05,france,soviet_union,1,1,世界杯1986小组赛 Group C,1986,Matchday 2,Group C,"Estadio Nou Camp, León",,
1986-06-05,italy,argentina,1,1,世界杯1986小组赛 Group A,1986,Matchday 2,Group A,"Estadio Cuauhtémoc, Puebla",,
1986-06-05,south_korea,bulgaria,1,1,世界杯1986小组赛 Group A,1986,Matchday 2,Group A,"Estadio Olímpico Universitario, Mexico City",,
1986-06-06,brazil,algeria,1,0,世界杯1986小组赛 Group D,1986,Matchday 2,Group D,"Estadio Jalisco, Guadalajara",,
1986-06-06,england,morocco,0,0,世界杯1986小组赛 Group F,1986,Matchday 2,Group F,"Estadio Tecnológico, Monterrey",,
1986-06-06,hungary,canada,2,0,世界杯1986小组赛 Group C,1986,Matchday 2,Group C,"Estadio Sergio León Chavez, Irapuato",,
1986-06-07,mexico,paraguay,1,1,世界杯1986小组赛 Group B,1986,Matchday 2,Group B,"Estadio Azteca, Mexico City",,
1986-06-07,northern_ireland,spain,1,2,世界杯1986小组赛 Group D,1986,Matchday 2,Group D,"Estadio Tres de Marzo, Guadalajara",,
1986-06-07,poland,portugal,1,0,世界杯1986小组赛 Group F,1986,Matchday 2,Group F,"Estadio Universitario, Monterrey",,
